"Base Size","Data Reader",Flags,"Label Handler","M Flag Use",Name,"Params Example","State Handler",Value,"X Flag Use"
2,READ_16,"Absolute | IndexedX",nullptr,false,LSR,"a,x",nullptr,0x5E,false
3,READ_24,"AbsoluteLong | IndexedX",nullptr,false,EOR,"al,x",nullptr,0x5F,false
0,NONE,Implied,nullptr,false,RTS,s,nullptr,0x60,false
1,READ_8,"DirectPage | Indirect | IndexedX",nullptr,false,ADC,"(dp,X)",nullptr,0x61,false
2,READ_16,PCRelativeLong,nullptr,false,PER,s,nullptr,0x62,false
1,READ_8,StackRelative,nullptr,false,ADC,"sr,S",nullptr,0x63,false
1,READ_8,DirectPage,nullptr,false,STZ,d,nullptr,0x64,false
1,READ_8,DirectPage,nullptr,false,ADC,dp,nullptr,0x65,false
1,READ_8,DirectPage,nullptr,false,ROR,d,nullptr,0x66,false
1,READ_8,"DirectPage | IndirectLong",nullptr,false,ADC,[dp],nullptr,0x67,false
0,NONE,Implied,nullptr,false,PLA,s,nullptr,0x68,false
1,READ_8_16,Immediate,nullptr,true,ADC,#,nullptr,0x69,false
0,NONE,Implied,nullptr,false,ROR,A,nullptr,0x6A,false
0,NONE,Implied,nullptr,false,RTL,s,nullptr,0x6B,false
2,READ_16,"Absolute | Indirect",JMP,false,JMP,(a),nullptr,0x6C,false
2,READ_16,Absolute,nullptr,false,ADC,addr,nullptr,0x6D,false
2,READ_16,Absolute,nullptr,false,ROR,a,nullptr,0x6E,false
3,READ_24,AbsoluteLong,nullptr,false,ADC,al,nullptr,0x6F,false
1,READ_8,PCRelative,BRA,false,BVS,r,nullptr,0x70,false
1,READ_8,"DirectPage | Indirect | IndexedY",nullptr,false,ADC,"(d),y",nullptr,0x71,false
1,READ_8,"DirectPage | Indirect",nullptr,false,ADC,(d),nullptr,0x72,false
1,READ_8,"StackRelative | Indirect | IndexedY",nullptr,false,ADC,"(sr,S),y",nullptr,0x73,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,STZ,"d,x",nullptr,0x74,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,ADC,"d,x",nullptr,0x75,false
1,READ_8,"DirectPage | IndexedX",nullptr,false,ROR,"d,x",nullptr,0x76,false
1,READ_8,"DirectPage | IndirectLong | IndexedY",nullptr,false,ADC,"[d],y",nullptr,0x77,false
0,NONE,Implied,nullptr,false,SEI,i,nullptr,0x78,false
2,READ_16,"Absolute | IndexedY",nullptr,false,ADC,"a,y",nullptr,0x79,false
0,NONE,Implied,nullptr,false,PLY,s,nullptr,0x7A,false
0,NONE,Implied,nullptr,false,TDC,i,nullptr,0x7B,false
2,READ_16,"Absolute | Indirect | IndexedX",JMP,false,JMP,"(a,x)",nullptr,0x7C,false
2,READ_16,"Absolute | IndexedX",nullptr,false,ADC,"a,x",nullptr,0x7D,false
2,READ_16,"Absolute | IndexedX",nullptr,false,ROR,"a,x",nullptr,0x7E,false
3,READ_16,"AbsoluteLong | IndexedX",nullptr,false,ADC,"al,x",nullptr,0x7F,false
1,READ_8,PCRelative,BRA,false,BRA,r,nullptr,0x80,false
1,READ_8,"DirectPage | Indirect | IndexedX",nullptr,false,STA,"(d,x)",nullptr,0x81,false
2,READ_16,PCRelativeLong,BRL,false,BRL,rl,nullptr,0x82,false
